depot,destination_name,destination_lat,destination_lon,distance_km,duration_min,cluster,TARGET_ORDER
Gare de Lyon,Chamie,48.8515196,2.3460703,3.56,9.58,2,1
Gare de Lyon,Five Chicken,48.8335199,2.309788,6.56,17.94,2,2
Gare de Lyon,Dante,48.8493296,2.3451503,3.65,10.05,2,3
Gare de Lyon,OTTO,48.8347385,2.3446953,3.64,10.14,2,4
Gare de Lyon,Meshuga,48.8447061,2.3322538,4.93,13.7,2,5
Gare de Lyon,L'Oiseau de Feu,48.8445358,2.3207817,6.15,16.41,2,6
Gare de Lyon,Boma,48.8475693,2.3484126,3.41,9.34,2,7
Gare de Lyon,Pendule de Foucault,48.8461929,2.3461361,3.84,11.15,2,8
Gare de Lyon,Les Petits Parisiens,48.8249015,2.320376,5.98,15.85,2,9
Gare de Lyon,Baca'v,48.839103,2.3560194,2.74,7.37,2,10
Gare de Lyon,Froidevaux - Boulard,48.8351811,2.3293989,4.84,13.45,2,11
Gare de Lyon,Racine,48.8466787,2.3478893,3.52,9.6,2,12
Gare de Lyon,La Crêperie du 2bis,48.8476936,2.3523471,3.0,8.12,2,13
Gare de Lyon,Sainte-Beuve,48.8439206,2.329496,5.04,13.73,2,14
Gare de Lyon,L'Opportun,48.8416161,2.3241649,5.26,14.45,2,15
Gare de Lyon,Les Petits Chaperons Rouges,48.8449823,2.3185116,6.57,18.02,2,16
Gare de Lyon,Le Play,48.8453566,2.3362684,4.61,12.84,2,17
Gare de Lyon,L'acteur Grec,48.8478248,2.338631,4.18,11.6,2,18
Gare de Lyon,Chez l'oncle Lin,48.8469216,2.3480978,3.5,9.54,2,19
Gare de Lyon,L'Annexe,48.8487827,2.3484052,3.48,9.45,2,20
Gare de Lyon,Sushi In,48.8191025,2.3258715,8.28,15.44,2,21
Gare de Lyon,Musée d'Histoire de la Médecine,48.8513247,2.3409022,3.94,10.97,2,22
Gare de Lyon,Marie-Thé,48.847056,2.3216137,5.62,15.22,2,23
Gare de Lyon,Institut de recherche et d’études Méditerranée Moyen-Orient,48.8491127,2.3476893,3.41,9.27,2,24
Gare de Lyon,CPNDO,48.833928,2.3346768,4.49,12.39,2,25
Gare de Lyon,Le wok café,48.8366994,2.3489176,3.45,9.51,2,26
Gare de Lyon,Les 5,48.8396674,2.3497245,3.41,9.42,2,27
Gare de Lyon,LCL,48.8184156,2.3188258,8.64,16.35,2,28
Gare de Lyon,Noisette,48.8422334,2.3297388,4.83,13.18,2,29
Gare de Lyon,Gaur,48.8444306,2.35884,3.23,8.76,2,30
Gare de Lyon,Le Lutèce,48.852728,2.3435275,3.73,10.15,2,31
Gare de Lyon,Villa Borghese,48.8423412,2.3297238,4.84,13.21,2,32
Gare de Lyon,Louise,48.8428721,2.357807,2.31,6.15,2,33
Gare de Lyon,Issot,48.8284106,2.3159398,6.91,17.89,2,34
Gare de Lyon,Théâtre Montparnasse,48.8395247,2.3235358,5.57,15.28,2,35
Gare de Lyon,Caféteria Universitaire Pitié,48.8369923,2.3602414,2.62,7.06,2,36
Gare de Lyon,Gourmet Gourmand,48.8306371,2.3542033,3.25,9.15,2,37
Gare de Lyon,Nativité de la Sainte Vierge,48.8510153,2.3355059,4.57,12.65,2,38
Gare de Lyon,Crèche du onze Novembre,48.8202851,2.3170049,8.98,17.0,2,39
Gare de Lyon,Grande Pharmacie Alésia,48.8277248,2.3271996,5.46,14.44,2,40
Gare de Lyon,LCL,48.8442742,2.3236759,5.5,15.38,2,41
Gare de Lyon,Le Buci,48.8538386,2.338474,4.24,11.35,2,42
Gare de Lyon,Bonvivant Pizza,48.8477639,2.35217,3.01,8.16,2,43
Gare de Lyon,Claude Ambroise Régnier,48.8463712,2.3458044,3.55,9.87,2,44
Gare de Lyon,Crédit Agricole,48.8377256,2.3508646,3.22,8.93,2,45
Gare de Lyon,Juba Kebab,48.8445586,2.3185442,6.54,17.97,2,46
Gare de Lyon,CIC,48.8555189,2.3253798,5.44,14.46,2,47
Gare de Lyon,Le Buisson ardent,48.8466889,2.3539888,3.04,8.29,2,48
Gare de Lyon,La Lucha Libre,48.849045,2.348555,3.45,9.38,2,49
Gare de Lyon,Savannah Café,48.8459164,2.3492191,3.34,9.29,2,50
Gare de Lyon,Lamarck,48.8422879,2.3566398,2.61,7.03,2,51
Gare de Lyon,Jean-Pierre Sers,48.8463651,2.3458315,3.55,9.87,2,52
Gare de Lyon,L'Amiral Chicken,48.8253534,2.3417072,4.31,11.83,2,53
Gare de Lyon,Plan de circulation de la crypte,48.8460855,2.3466103,3.73,10.41,2,54
Gare de Lyon,Borei,48.8323687,2.3298773,4.89,13.31,2,55
Gare de Lyon,Saint François de Sales remet à Jeanne de Chantal les Constitutions de l'Ordre de la Visitation,48.8511476,2.3344126,4.43,11.91,2,56
Gare de Lyon,Le In,48.844232,2.3297156,5.07,13.82,2,57
Gare de Lyon,Crêperie Saint-Malo,48.8422179,2.3258102,5.29,14.65,2,58
Gare de Lyon,Centre Culturel Iranien,48.8477949,2.3309039,5.1,14.35,2,59
Gare de Lyon,Chez Nicos,48.843577,2.3493886,3.27,8.84,2,60
Gare de Lyon,Yakigushi,48.8191333,2.3230642,8.7,16.32,2,61
Gare de Lyon,Résidence Furtado-Heine,48.8293477,2.3185846,6.12,16.51,2,62
Gare de Lyon,Le Marigny,48.8281934,2.3156122,6.87,18.37,2,63
Gare de Lyon,Au Petit Marguery,48.8367669,2.3498874,3.35,9.23,2,64
Gare de Lyon,Foyer de l'enfant Jésus,48.8429882,2.3197997,6.21,16.88,2,65
Gare de Lyon,Velléda,48.8462266,2.3396027,4.25,11.87,2,66
Gare de Lyon,Les premiers bouquinistes,48.8500131,2.3552318,2.67,7.08,2,67
Gare de Lyon,Guynemer - Jardin du Luxembourg,48.8467228,2.3324013,4.85,13.45,2,68
Gare de Lyon,SNCF,48.8412484,2.3663276,2.14,6.17,2,69
Gare de Lyon,Atelier Kim,48.8406579,2.3231316,5.65,15.65,2,70
Gare de Lyon,Balkans,48.8440565,2.3582832,3.17,8.62,2,71
Gare de Lyon,Le Boa,48.8416177,2.3314774,4.71,12.97,2,72
Gare de Lyon,Wurtz - Tolbiac,48.8264833,2.3443121,4.03,11.1,2,73
Gare de Lyon,Fresque des photographes,48.8348679,2.3618703,2.35,6.36,2,74
Gare de Lyon,Direction Nation,48.8420112,2.3205144,5.74,15.97,2,75
Gare de Lyon,Les Rives Oceanik,48.8442494,2.3422817,4.24,11.73,2,76
