depot,destination_name,destination_lat,destination_lon,distance_km,duration_min
Gare de Lyon,Société Générale,48.8787209,2.2930864,9.1,23.0
Gare de Lyon,Société Générale Bourse,48.8686697,2.3421738,5.86,16.44
Gare de Lyon,Innov' Burger,48.8586994,2.4014505,4.46,11.25
Gare de Lyon,Pharmacie Rodier,48.8779431,2.3424201,6.06,16.89
Gare de Lyon,A la Bonne Adresse,48.8979806,2.2408931,13.45,29.08
Gare de Lyon,Ninja ren,48.853097,2.4263253,5.29,12.27
Gare de Lyon,Bistrot de Loly,48.8850476,2.3830435,6.58,18.05
Gare de Lyon,Lutetia,48.8470991,2.2854664,8.42,22.95
Gare de Lyon,Hôtel Prince Albert Wagram,48.8864935,2.3123404,8.42,22.01
Gare de Lyon,Café Beaugrenelle,48.8464151,2.2854902,8.74,23.77
Gare de Lyon,Stop Pain,48.8194688,2.3590386,5.48,10.91
Gare de Lyon,Les Rives Oceanik,48.8442494,2.3422817,4.24,11.73
Gare de Lyon,La maison du kebab & chicken,48.880498,2.3530372,5.28,14.81
Gare de Lyon,Tabac de la Bourse,48.8691212,2.3627535,3.79,10.62
Gare de Lyon,Leibniz - Jean Dollfus,48.8963283,2.3333904,8.01,22.29
Gare de Lyon,Miss Kō,48.8710293,2.3006084,7.86,19.92
Gare de Lyon,Place du Général-Catroux,48.8833428,2.3092343,7.89,20.68
Gare de Lyon,Domino's,48.8804912,2.4187653,8.1,15.32
Gare de Lyon,Écographie Scanner Imagerie,48.8660211,2.3462946,5.67,15.98
Gare de Lyon,Tbilissi,48.8667667,2.3513946,5.65,15.91
Gare de Lyon,Villa Min,48.8991473,2.2457779,13.42,29.35
Gare de Lyon,Direction Nation,48.8420112,2.3205144,5.74,15.97
Gare de Lyon,Le Rocher,48.8473462,2.2986522,7.41,20.18
Gare de Lyon,Fresque des photographes,48.8348679,2.3618703,2.35,6.36
Gare de Lyon,Pharmacie du Square Violet,48.8447636,2.2899499,8.09,22.05
Gare de Lyon,Berry,48.8732236,2.3431529,5.31,14.8
Gare de Lyon,2Z Resto,48.883388,2.3731757,5.75,15.7
Gare de Lyon,Babel,48.8716358,2.3780921,5.31,15.07
Gare de Lyon,Haussmann Galeries Lafayette,48.873392,2.3305247,6.06,16.81
Gare de Lyon,Place Lafayette,48.8296785,2.2639017,13.25,23.4
Gare de Lyon,Collège Marcelin Berthelot,48.8561049,2.4371952,6.09,13.47
Gare de Lyon,La plume,48.8648155,2.3445171,4.85,13.47
Gare de Lyon,École maternelle publique Souzy,48.8517486,2.3881145,2.6,6.21
Gare de Lyon,Bibliothèque universitaire des langues et civilisations (BULAC),48.827088,2.3756326,3.08,8.32
Gare de Lyon,Wurtz - Tolbiac,48.8264833,2.3443121,4.03,11.1
Gare de Lyon,Pêche,48.8863383,2.3125327,8.35,21.74
Gare de Lyon,Pharmarket Beaugrenelle,48.8464239,2.2857557,8.37,22.79
Gare de Lyon,Tajmahal Express,48.8162734,2.2473883,15.56,27.0
Gare de Lyon,Gare au Gorille,48.8835395,2.3199444,7.63,21.27
Gare de Lyon,Dépanneur Pigalle,48.8823348,2.3334289,6.56,18.15
Gare de Lyon,Le Panama,48.8876553,2.3535885,6.44,18.15
Gare de Lyon,Tintin Kissing,48.8680403,2.3473736,5.36,15.13
Gare de Lyon,Les 3 Frères,48.8875899,2.3535772,6.43,18.11
Gare de Lyon,Gisèle HALIMI et Claude FAUX,48.8617945,2.3935896,4.55,12.13
Gare de Lyon,Ernest,48.8576118,2.3586694,5.15,14.55
Gare de Lyon,Paul Vaillant-Couturier,48.860113,2.3998335,4.95,13.5
Gare de Lyon,Enterprise,48.8806866,2.3538242,6.44,18.37
